Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
2083067,19,Ogres rajona tiesa,271157,Pirmo reizi,10/18/2017,11/22/2017,Prasības pieteikums maza apmēra prasībā par naudas piedziņu.,403.00,1,0,0,1,0,0,0,0,0
2083812,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,150678,Pirmo reizi,10/20/2017,11/30/2017,par zaudējumu piedziņu,3295.18,1,0,0,1,0,0,0,0,0
2083890,19,Ogres rajona tiesa,041172,Pirmo reizi,10/20/2017,12/20/2017,Prasības pieteikums maza apmēra prasībā par naudas piedziņu.,485.20,2,0,0,1,0,0,0,0,0
2083893,19,Ogres rajona tiesa,111061,Pirmo reizi,10/20/2017,12/12/2017,Prasības pieteikums maza apmēra prasībā par naudas piedziņu.,567.94,1,0,0,1,0,0,0,0,0
2083896,19,Ogres rajona tiesa,271157,Pirmo reizi,10/20/2017,12/15/2017,Prasības pieteikums maza apmēra prasībā par naudas piedziņu.,806.77,1,0,0,1,0,0,0,0,0
2083910,5,Cēsu rajona tiesa,160555,Pirmo reizi,10/20/2017,12/19/2017,maza apmēra prasība par naudas piedziņu,454.35,1,0,0,1,0,0,0,0,0
2084160,16,Limbažu rajona tiesa,010358,Pirmo reizi,10/20/2017,12/7/2017,Maza apmēra prasība par parāda piedziņu.,298.02,1,0,0,1,0,0,0,0,0
2084248,27,Liepājas tiesa,280767,Pirmo reizi,10/23/2017,12/11/2017,parāda piedziņa,280.65,1,0,0,1,0,0,0,0,0
2084289,22,Daugavpils tiesa,091071,Pirmo reizi,10/23/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,400.78,1,0,0,1,0,0,0,0,0
2084310,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,130374,Pirmo reizi,10/23/2017,11/30/2017,par parāda un likumisko procentu piedziņu,11070.48,1,0,0,1,0,0,0,0,0
2084364,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,060678,Pirmo reizi,10/23/2017,11/30/2017,"par parāda, līgumsoda un procentu piedziņu",364.71,1,0,0,1,0,0,0,0,0
2084790,7,Gulbenes rajona tiesa,130374,Pirmo reizi,10/24/2017,12/20/2017,maza apmēra prasībā par naudas piedziņu,1732.02,1,0,0,1,0,0,0,0,0
2084826,5,Cēsu rajona tiesa,270966,Pirmo reizi,10/24/2017,12/20/2017,maza apmēra prasība par naudas piedziņu,985.88,1,0,0,1,0,0,0,0,0
2084897,23,Jelgavas tiesa,090972,Pirmo reizi,10/24/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,934.40,1,0,0,1,0,0,0,0,0
2084903,23,Jelgavas tiesa,090972,Pirmo reizi,10/24/2017,12/18/2017,neizmaksātās darba algas un samaksas par neizmantoto atvaļinājumu piedziņa,1313.60,0,1,1,0,0,0,0,0,0
2084921,23,Jelgavas tiesa,090972,Pirmo reizi,10/24/2017,12/18/2017,neizmaksātās darba algas un samaksas par neizmantoto atvaļinājumu piedziņa,1730.97,0,1,1,0,0,0,0,0,0
2085007,29,Rīgas rajona tiesa,250778,Lietas atdalīšana,10/24/2017,12/21/2017,,0.00,1,0,0,1,2,1,0,0,0
